osm_id,osm_type,IBGE:GEOCODIGO,addr:state,addr:state_code,admin_level,alt_name,boundary,fixme,flag,is_in:country,iso3166-2,name,name:ab,name:am,name:ar,name:ay,name:az,name:ba,name:be,name:bg,name:bn,name:br,name:ca,name:ce,name:cv,name:cz,name:de,name:dv,name:el,name:en,name:eo,name:es,name:et,name:eu,name:fa,name:fr,name:fy,name:gl,name:gn,name:he,name:hi,name:hr,name:hy,name:ia,name:id,name:io,name:it,name:ja,name:ka,name:kk,name:ko,name:ku,name:kv,name:kw,name:ky,name:la,name:lt,name:lv,name:mk,name:ml,name:mn,name:mr,name:ms,name:ne,name:nl,name:oc,name:os,name:pa,name:pl,name:pt,name:qu,name:ro,name:ru,name:sa,name:sh,name:sq,name:sr,name:sv,name:ta,name:tg,name:th,name:tk,name:tr,name:tt,name:ug,name:uk,name:ur,name:uz,name:vi,name:wa,name:yi,name:yo,name:zh,note,place,ref,short_name,source,source:name,timezone,type,website,wikidata,wikipedia
54882,relation,32,,ES,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/4/43/Bandeira_do_Esp%C3%ADrito_Santo.svg,Brazil,BR-ES,Espírito Santo,,,إسبيريتو سانتو,,,,Эспірыту-Санту,Еспирито Санто,,,,,,,Espírito Santo,,,Espírito Santo,Espirito-Santo,,,,اسپیریتو سانتو,,,,,אספיריטו סאנטו,एस्पिरितो सान्तो,,Էսպիրիտու Սանտու,,,,,エスピリトサント,ესპირიტუ-სანტუ,,이스피리투산투,Espirito Santo,,,,Spiritus Sanctus,Espirito Santas,Espiritu Santu,Еспирито Санто,,,एस्पिरितो सांतो,,,,,Эспириту-Санту,,Espírito Santo,Espírito Santo,Ch'uya Ispiritu,,Эспириту-Санту,,Espiritu Santu,,Еспирито Санто,,,Эспириту Санту,เอสปีรีตูซานตู,,,,,Еспіріту-Санту,,Espiritu-Santu,,,,,圣埃斯皮里图,,state,ES,ES,IBGE,,America/Sao_Paulo,boundary,http://www.es.gov.br/,Q43233,pt:Espírito Santo (estado)
57963,relation,33,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/7/73/Bandeira_do_estado_do_Rio_de_Janeiro.svg,Brazil,BR-RJ,Rio de Janeiro,,ሪዮ ዴ ጃኔይሮ,ريو دي جانيرو,,Rio de Janeyro,Рио-де-Жанейро,Рыа-дэ-Жанэйра,Рио де Жанейро,রিউ দি জানেইরু,,,Рио-де-Жанейро,Рио-де-Жанейро,,Rio de Janeiro,,Ρίο ντε Τζανέιρο,Rio de Janeiro,Rio-de-Ĵanejro,Río de Janeiro,,,ریودو ژانیرو,,Rio de Janêro,Río de Xaneiro,,ריו דה ז'ניירו,रियो डि जेनेरो,,Ռիո դե Ժանեյրո,,,,,リオデジャネイロ,რიო-დე-ჟანეირო,Рио-де-Жанейро,리우데자네이루,,,,Рио-де-Жанейро,Flumen Ianuarii,Rio de Žaneiras,Riodežaneiro,Рио де Жанеиро,റിയോ ഡി ജനീറോ,Рио-де-Жанейро,रियो दि जानेरो,,,,,Рио-де-Жанейро,ਰਿਓ ਡੀ ਜਨੇਰੋ,Rio de Janeiro,Rio de Janeiro,,,Рио-де-Жанейро,,Rio de Žaneiro,Rio de Zhaneiro,Рио де Жанеиро,,இரியோ டி செனீரோ,Рио-де-Жанейро,รีโอเดจาเนโร,Rio-de-Žaneýro,,Рио-де-Жанейро,Rio dé Janéyro,Ріо-де-Жанейро,ریو دے جینیرو,Rio-de-Janeyro,,,ריא דע זשאנערא,,里約熱內盧,,state,RJ,RJ,,,America/Sao_Paulo,boundary,http://www.rj.gov.br/,Q41428,pt:Rio de Janeiro
185579,relation,15,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/0/02/Bandeira_do_Par%C3%A1.svg,Brazil,BR-PA,Pará,,,بارا,,,,Пара,Пара,,,,,,,Pará,,,Pará,Parao,,,,پارا,,,,Para,פארה,,,Պարա,,,,,パラー,პარა,,파라,,,,,Para,Para,Para,Пара,,,पारा,,,,,Пара,,Pará,Pará,,,Пара,,Para,,Пара,,,Пара,ปารา,,,,,Пара,,Para,,,,,帕拉,,state,PA,PA,,,,boundary,http://www.pa.gov.br/,Q39517,pt:Pará
242620,relation,43,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/6/63/Bandeira_do_Rio_Grande_do_Sul.svg,Brazil,BR-RS,Rio Grande do Sul,,,ريو غراندي دو سول,,,,Рыу-Гранды-ду-Сул,Рио Гранди до Сул,,,,,,,Rio Grande do Sul,,,Rio Grande do Sul,Suda Rio-Grando,Río Grande del Sur,,Hegoaldeko Rio Grande,ریو گرانده جنوبی,,,Río Grande do Sur,,ריו גראנדה דו סול,रियो ग्रांडे दो सुल,,Ռիու Գրանդի դու Սուլ,,,,,リオグランデ・ド・スル,რიუ-გრანდი-დუ-სული,Риу-Гранди-ду-Сул,히우그란지두술,,,,,Flumen Magnum Meridionale,Pietų Rio Grandė,Riugrandi du Sula,Јужна Рио Гранде,,,रियो ग्रांदे दो सुल,,,,,Риу-Гранди-ду-Сул,,Rio Grande do Sul,Rio Grande do Sul,Urin Hatunmayu suyu,,Риу-Гранди-ду-Сул,,Rio Grandi du Sul,,Рио Гранде до Сул,,,Риу Гранди ду Сул,รีโอกรันดีโดซูล,,,,,Ріу-Гранді-ду-Сул,,Riu-Grandi-du-Sul,,,,,南里奥格兰德,,state,RS,RS,,IBGE,America/Sao_Paulo,boundary,http://www.rs.gov.br/,Q40030,pt:Rio Grande do Sul
296584,relation,42,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Bandeira_de_Santa_Catarina.svg,Brazil,BR-SC,Santa Catarina,,,سانتا كاتارينا,,,,Санта-Катарына,Санта Катарина,,,,,,,Santa Catarina,,,Santa Catarina,Sankta Katarino,,,,سانتا کاتارینا,,,,,סנטה קטרינה,सांता कातारीना,,Սանտա Կատարինա,,,,,サンタカタリーナ,სანტა-კატარინა,,산타카타리나,,,,,Sancta Catharina,Santa Katarina,Santakatarina,Санта Катарина,,,सांता कातारिना,,,,,Сантæ-Катаринæ,,Santa Catarina,Santa Catarina,,,Санта-Катарина,,,,Санта Катарина,,,Санта Катарина,ซันตากาตารีนา,,,,,Санта-Катаріна,,Santa-Katarina,,,,,圣卡塔琳娜,,state,SC,SC,IBGE,IBGE,America/Sao_Paulo,boundary,http://www.sc.gov.br/,Q41115,pt:Santa Catarina
297640,relation,41,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/9/93/Bandeira_do_Paran%C3%A1.svg,Brazil,BR-PR,Paraná,,,بارانا,,,,Парана,Парана,,,Paranà,,,,Paraná,,Παρανά,Paraná,Paranao,,,,پارانا,,,,,פרנה,पाराना,,Պարանա,,,,,パラナ,პარანა,,파라나,,,,,Parana,Parana,Parana,Парана,,,पाराना,,,,,Парана,,Parana,Paraná,,,Парана,,,,Парана,,,Парана,ปารานา,,,,,Парана,,Parana,,,פאראנא,,巴拉那,,state,PR,PR,IBGE,,America/Sao_Paulo,boundary,http://www.pr.gov.br/,Q15499,pt:Paraná
298204,relation,35,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/2/2b/Bandeira_do_estado_de_S%C3%A3o_Paulo.svg,Brazil,BR-SP,São Paulo,Сан-Паулу,ሳው ፓውሉ,ساو باولو,San Pauluw,San Paulo,Сан-Паулу,Сан-Паўлу,Сао Пауло,সাঁউ পাউলু,,,Сан-Паулу,Сан-Паулу,,São Paulo,ސައޮ ޕައުލޯ,Σάο Πάολο,São Paulo,San-Paŭlo,San Pablo,,,سائوپائولو,,,San Paulo,,סאו פאולו,साओ पाउलो,,Սան Պաուլո,,,Sao Paulo,San Paolo,サンパウロ,სან-პაულუ,Сан-Паулу,상파울루,,Сан-Паулу,,,Sanctus Paulus,San Paulas,Sanpaulu,Сао Паоло,സാവോ പോളോ,Сан-Паулу,साओ पाउलो,,साओ पाउलो,,,Сан-Паулу,ਸਾਓ ਪਾਓਲੋ,São Paulo,São Paulo,,,Сан-Паулу,साओ पाओलो,Sao Paulo,,Сао Пауло,,சாவோ பாவுலோ,Сан-Паулу,เซาเปาลู,San-Paulu,Сан Паулу,Сан-Паулу,San Pawlo,Сан-Паулу,ساؤ پالو,San-Paulu,,Sawo Pålo,סאו פאולא,Sao Paulo,圣保罗,,state,SP,SP,IBGE,,America/Sao_Paulo,boundary,http://www.sp.gov.br/,Q175,pt:São Paulo
301079,relation,24,RN,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/3/30/Bandeira_do_Rio_Grande_do_Norte.svg,Brazil,BR-RN,Rio Grande do Norte,,,ريو غراندي دو نورتي,,,,Рыу-Гранды-ду-Норты,Рио Гранди до Норти,,,,,,,Rio Grande do Norte,,,Rio Grande do Norte,Norda Rio-Grando,Río Grande del Norte,,Iparraldeko Rio Grande,ریو گرانده شمالی,,,Río Grande do Norte,,ריו גראנדה דו נורטה,रियो ग्रांदे दो नॉर्ते,,Ռիու Գրանդի դու Նորտի,,,,,リオグランデ・ド・ノルテ,რიუ-გრანდი-დუ-ნორტი,,히우그란지두노르치,,,,,Flumen Magnum Septentrionale,Šiaurės Rio Grandė,Riugrandi du Norti,Северна Рио Гранџе,,,Северна Рио Гранџе,,,,,Риу-Гранди-ду-Норти,,Rio Grande do Norte,Rio Grande do Norte,Chinchay Hatunmayu,,Риу-Гранди-ду-Норти,,Rio Grandi du Norti,,Рио Гранде до Норте,,,Риу Гранди ду Норти,รีโอกรันดีโดนอร์เต,,,,,Ріу-Гранді-ду-Норті,,Riu-Grandi-du-Norti,,,,,北里约格朗德,,state,RN,RN,IBGE;Bing,,America/Fortaleza,boundary,http://www.rn.gov.br/,Q43255,pt:Rio Grande do Norte
301464,relation,25,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Bandeira_da_Para%C3%ADba.svg,Brazil,BR-PB,Paraíba,,,بارايبا,,,,Параіба,Параиба,,,,,,,Paraíba,,,Paraíba,Paraibo,,,,پارائیبا,,,,Parayva,פאראיבה,परेबा,,Պարաիբա,,,,,パライバ,პარაიბა,,파라이바,,,,,Parahyba,Paraiba,Paraiba,Параиба,,,परैबा,,,,,Параибæ,,Paraíba,Paraíba,,,Параиба,,Paraiba,,Параиба,,,Параиба,ปาราอีบา,,,,,Параїба,,Paraiba,,,,,帕拉伊巴,,state,PB,PB,IBGE,,America/Fortaleza,boundary,http://www.paraiba.pb.gov.br/,Q38088,pt:Paraíba
302635,relation,23,,,4,,administrative,,https://upload.wikimedia.org/wikipedia/commons/2/2e/Bandeira_do_Cear%C3%A1.svg,Brazil,BR-CE,Ceará,,,سيارا,,,,Сеара,Сеара,,,,,,,Ceará,,,Ceará,Cearao,,,,سئارا,,,,Ceara,סיארה,सियारा,,Սեարա,,,,,セアラー,სეარა,,세아라,,,,,Ceara,Seara,Seara,Сеара,,,सियारा,,,,,Сеара,,Ceará,Ceará,,,Сеара,,Seara,,Сеара,,,Сеара,เซอารา,,,,,Сеара,,Seera,,,,,塞阿腊,,state,CE,CE,IBGE,,America/Fortaleza,boundary,http://www.ceara.gov.br/,Q40123,pt:Ceará
